year,estimate,lwr,upr,log_estimate,se,log_se
1988,0.5927590505810338,0.14435838860835892,1.118519589256156,-0.626791576119796,0.5212272131414051,-0.6515692226205546
1989,0.3996555025422841,0.11406416282002245,0.823374982924086,-0.9846240055110147,0.49189697222299095,-0.7094859904691688
1990,0.42393971769086003,0.11437168908354539,0.9682585333589244,-0.9369399139131322,0.5717876705883802,-0.5589875617811377
1991,0.8842107312206775,0.4998305997745159,1.2811421798283575,-0.15121059656346528,0.2487442307419985,-1.3913300962093875
1992,0.521532384796048,0.20879780130546322,0.7741264153208575,-0.7242090195956791,0.3437611720278185,-1.0678081300849211
1993,0.7927547635673204,0.2727071002416235,1.3456039376112359,-0.2911814752582123,0.3893402739857601,-0.9433015774027543
1994,0.48741152213266015,0.13985452070688892,0.9320885033569879,-0.8015725501026802,0.4802506087542523,-0.7334472097564456
1995,0.7332490144700872,0.4068700063248618,1.0587157175163273,-0.34364058679969384,0.25101712697372114,-1.3822341072231876
1996,0.38780884395190957,0.13479370810998564,0.6462330709545633,-1.0270129222588575,0.3956387016078485,-0.9272538538673518
1997,0.4055369940768999,0.18829737726822143,0.6307195777661098,-0.9415291154029858,0.30691457453627186,-1.1811858289556194
1998,0.41865698100974935,0.1735814409019915,0.6554408403048616,-0.9349045490400025,0.3484917991163969,-1.0541405810056503
1999,0.3032440527997227,0.14530817404970667,0.5437427342587219,-1.2107943976790274,0.3488726863340228,-1.053048218938332
2000,0.5026059309748747,0.282808550173147,0.7524487648346478,-0.7150705859776292,0.2553665770037751,-1.3650552092418455
2001,0.6038839220863566,0.4163065526547449,0.8276991729467252,-0.5061119076668852,0.16815106495544765,-1.7828925074501831
2002,0.48617953571772843,0.2471795224817784,0.7048001055520858,-0.758026453377673,0.26231206460988704,-1.3382203977042886
2003,0.3990988602789692,0.26350279267162124,0.5385597495883598,-0.9302500782616191,0.17742981524409057,-1.7291801553362034
2004,0.4696940898679152,0.22018240561847588,0.734070631418852,-0.8036207713958999,0.33495755959389023,-1.0937514429620774
2005,0.1414620693557178,0.06764511402412962,0.2524431762995787,-1.9724307296743355,0.3368095791768642,-1.0882375552818913
2006,0.5652109892650963,0.3514389654542623,0.740699132586737,-0.5977166150015414,0.19266219592463693,-1.6468169037905058
2007,0.3998373308981248,0.25402452471180664,0.5558827359868103,-0.9366915293685718,0.19778803085203792,-1.6205593729892354
2008,0.34641901640419676,0.2179943813869865,0.5219189642339725,-1.0620997771118414,0.22811360053259774,-1.4779115261620013
2009,0.6184878170445514,0.47962120119922275,0.7862729387619478,-0.4814295104558782,0.1290432320765986,-2.047607798388043
2010,0.31810432707454084,0.22305961925364634,0.42253783854985494,-1.1542375457440281,0.1624330196380501,-1.8174895490274607
2011,0.2512347607303261,0.15630480369940272,0.3593470888323242,-1.3939800800602278,0.21969910894950814,-1.5154963553598875
2012,0.6747843715960231,0.45848985305761925,0.8944780481338057,-0.40689979667836135,0.17528178262595565,-1.7413604135848684
2013,0.2999035795499671,0.1879038065500954,0.4212460247734617,-1.2190342649000092,0.20959884485448488,-1.5625598377408714
2014,0.46327070137061643,0.29604899912732024,0.6396604138729262,-0.7908516118381871,0.19965092153484418,-1.6111848297317728
2015,0.2670270768917501,0.1701725623417972,0.36493362946956653,-1.3435331065657605,0.1930338782618923,-1.6448895704460118
2016,0.176400730462028,0.09379188622049409,0.3218503822443561,-1.7306722974230375,0.3403069507382014,-1.0779072723585659
2017,0.4839305517683339,0.35040821005322537,0.62573405724461,-0.7322182087681224,0.1494744171489643,-1.9006300235439668
2018,0.4863349697952148,0.3077794883781326,0.6468204193336401,-0.7505450861325442,0.19585675856772236,-1.6303717105674647
2019,0.46341519909793216,0.34727106910762806,0.5745616237816144,-0.779940896544303,0.13306844641286755,-2.0168916484561814
2020,0.2844111578631488,0.15979284577416314,0.4385624592139578,-1.2725988724229502,0.2528485490118363,-1.3749645900059848
2021,0.43025507919640327,0.3053325162411794,0.5767162911659945,-0.8489038303161908,0.1647719072247204,-1.8031931419071385
